S,VL,VR
400,90,90
400,90,90
400,75,75
49,150,105
36,10,60
24,30,45
400,90,90
400,90,90
400,90,90
146,70,75
183,75,75
168,75,75
294,80,80
279,180,90
400,75,75
85,100,105
400,90,90
57,60,75
43,60,75
31,30,75
104,60,60
99,70,75
83,75,75
66,75,75
52,60,75
37,10,75
22,10,45
212,60,105
184,45,60
400,120,120
400,90,90
400,90,90
179,80,80
179,75,75
181,75,75
207,60,60
194,150,75
154,80,75
130,70,75
114,85,90
101,85,90
39,10,45
221,45,45
230,75,75
216,75,75
400,90,90
183,90,90
48,30,120
33,120,75
18,5,45
400,75,75
135,30,75
351,75,75
372,90,90
332,90,90
400,75,75
400,90,90
400,90,90
118,75,75
100,90,90
41,10,75
29,10,90
24,10,75
400,30,75
400,75,75
400,60,60
400,90,90
160,90,90
146,75,75
132,30,75
40,30,75
24,30,60
11,0,30
400,120,15
97,30,60
36,240,75
400,75,75
400,60,60
76,50,75
59,180,90
47,120,75
35,90,90
23,0,75
400,60,75
61,30,75
210,120,75
107,30,75
187,90,75
172,90,90
56,20,75
45,30,75
28,150,45
19,5,30
400,15,20
400,75,75
273,75,75
400,75,75
29,10,90
15,45,75
6,40,90
400,180,90
126,15,90
118,90,90
56,120,75
165,210,75
34,30,75
40,195,75
46,180,75
400,45,75
400,30,75
400,75,75
400,90,90
400,30,75
400,30,90
400,120,90
400,75,75
154,60,75
146,210,90
133,75,75
400,75,75
106,75,75
400,120,135
400,75,75
400,75,75
400,75,75
48,20,50
400,150,90
400,55,60
400,60,75
205,90,105
199,30,75
400,90,75
156,5,75
400,30,30
138,5,45
400,80,90
400,30,90
321,60,90
400,105,105
400,60,75
6,5,60
14,60,30
127,30,30
265,40,45
157,70,75
241,30,75
81,70,75
51,70,75
55,60,75
39,5,75
167,30,30
154,15,15
400,60,60
400,75,75
400,75,75
400,75,75
400,75,75
400,105,105
53,0,75
40,30,75
29,60,90
400,75,75
90,60,75
245,60,75
231,60,75
217,75,75
204,75,75
158,75,75
106,90,90
95,45,45
3,120,5
323,45,45
47,90,90
400,75,75
400,90,90
400,75,75
400,75,75
220,90,90
197,450,75
179,75,75
163,105,105
130,75,75
102,15,75
37,150,90
23,60,60
12,60,30
279,30,30
215,90,90
400,90,90
400,90,90
127,75,75
86,75,90
67,180,60
106,60,30
400,90,90
46,150,60
400,120,75
20,210,30
8,30,15
83,30,40
104,120,100
104,15,15
55,105,105
105,45,45
105,45,45
400,55,55
400,65,65
400,60,45
400,210,75
103,75,75
400,90,90
400,90,90
400,90,90
400,90,90
400,90,90
400,90,90
400,90,90
400,75,75
400,60,75
90,120,120
75,90,90
400,90,90
400,90,90
29,30,60
16,5,60
15,90,45
123,15,15
113,60,45
126,60,60
114,30,30
107,15,15
105,75,75
400,180,90
9,45,30
24,75,105
224,30,30
400,30,75
294,60,75
278,30,90
263,90,90
141,90,90
231,180,180
214,270,90
157,75,75
112,90,90
95,90,90
79,90,90
400,75,75
400,30,90
31,90,90
90,90,90
400,15,15
400,75,75
400,90,90
400,60,90
87,30,90
55,120,60
43,15,45
282,0,0
281,180,75
269,60,90
35,120,120
23,210,105
9,60,90
80,0,90
400,150,90
400,0,90
400,0,90
400,30,90
400,120,75
400,120,90
400,90,75
400,780,210
400,120,75
400,90,90
400,90,90
215,90,90
199,90,90
184,90,90
102,75,75
153,90,90
139,70,75
125,100,105
92,30,75
78,90,90
65,90,75
52,20,75
52,20,75
41,30,90
160,90,90
195,75,75
400,90,90
400,90,75
229,90,90
213,90,90
400,75,75
400,90,90
400,90,90
400,75,75
400,90,90
400,90,90
400,90,90
47,15,120
44,330,90
34,30,120
20,5,90
400,90,90
32,210,75
88,60,60
74,60,75
60,30,75
46,20,60
32,10,30
400,75,75
234,60,60
192,75,75
171,70,75
157,90,60
41,40,75
43,15,60
174,65,70
291,75,76
101,65,65
81,65,65
40,50,15
38,55,10
400,75,75
198,75,75
400,60,60
166,180,90
224,270,200
184,30,90
400,75,75
400,90,90
400,75,75
154,120,75
148,60,75
133,50,75
106,50,75
107,70,75
152,60,75
67,80,75
76,60,20
38,60,75
25,15,60
18,5,60
400,55,60
91,60,45
68,50,90
41,45,80
19,90,30
400,75,75
400,75,75
400,75,75
115,60,75
100,65,75
86,60,90
71,50,75
57,90,60
44,15,60
31,5,45
27,30,5
96,30,30
375,75,75
400,75,75
400,75,75
328,75,75
315,60,75
55,40,75
42,25,75
29,10,60
18,5,65
10,5,55
121,90,90
238,90,90
161,75,65
141,75,65
400,90,90
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,90,90
238,75,75
400,75,75
400,75,60
38,10,45
40,15,45
27,5,45
18,5,30
400,75,75
400,75,75
193,60,60
136,60,60
117,60,75
104,60,60
88,55,75
77,45,75
66,90,75
36,10,75
23,10,60
28,5,30
18,5,45
400,60,60
46,5,30
400,30,30
400,45,45
155,60,60
400,75,75
400,75,75
400,75,75
72,50,75
26,5,30
22,5,45
125,60,60
141,70,75
100,70,75
89,60,75
78,30,75
230,70,70
212,75,75
121,60,60
37,5,75
26,5,75
145,60,75
4,60,5
400,120,120
125,120,120
121,120,120
117,105,105
152,120,120
169,135,135
400,120,120
393,120,120
400,120,120
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
126,75,75
97,50,45
36,5,45
144,75,75
126,75,75
113,60,60
28,5,60
18,1,30
78,30,40
400,70,70
400,70,70
400,70,70
110,60,60
118,60,75
98,65,75
91,65,75
39,35,75
41,10,45
54,25,30
123,60,60
400,30,30
400,75,75
400,90,90
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
400,75,75
222,75,75
400,75,75
400,75,75
400,75,75
9,75,5
4,5,195
4,5,90
4,5,270
4,5,90
4,5,150
158,120,120
162,120,105
125,60,60
400,60,60
136,60,60
121,60,60
109,60,60
96,55,60
87,55,60
71,55,60
63,50,45
53,40,30
400,75,75
400,75,75
371,75,75
400,75,75
341,75,75
330,75,75
335,75,75
305,75,75
290,75,75
254,75,75
156,75,75
240,75,75
227,75,75
214,75,75
202,75,75
188,75,75
174,75,75
162,75,75
149,75,75
45,5,60
35,5,45
129,30,45
156,60,75
118,60,60
107,60,60
94,50,60
31,30,60
19,120,45
12,90,30
400,75,75
400,75,75
400,75,75
400,75,75
92,60,60
79,60,60
400,75,75
54,75,30
44,75,20
189,65,75
176,65,75
400,65,75
400,65,75
400,65,75
400,65,75
231,65,75
15,10,75
14,10,75
400,30,30
333,75,75
201,75,75
130,75,75
117,65,75
103,60,70
93,60,75
73,50,60
63,40,60
52,40,75
93,65,75
83,85,90
121,75,75
50,40,50
400,75,75
21,10,75
400,65,75
6,10,60
3,210,60
6,300,135
400,75,75
359,30,30
400,30,30
26,5,75
28,150,75
78,5,75
400,75,75
20,5,45
11,5,30
34,5,15
400,75,75
103,60,60
89,60,70
73,60,70
48,20,50
36,15,45
119,45,45
163,60,60
19,5,75
311,60,90
27,60,90
89,60,75
202,60,75
43,5,75
28,240,75
13,180,75
400,5,60
25,5,45
23,0,15
400,5,60
65,5,60
63,30,105
39,270,90
27,5,45
22,5,30
400,30,45
47,30,60
36,30,75
27,240,75
400,60,60
158,60,60
249,60,60
26,5,60
235,60,60
85,50,60
400,75,75
400,65,75
400,65,75
233,65,60
57,20,105
55,150,75
51,25,75
63,25,75
58,25,45
56,30,45
47,0,30
400,120,60
400,270,60
400,210,75
267,30,90
400,60,75
46,90,75
25,120,60
15,300,30
400,75,30
184,90,45
400,105,75
400,75,75
400,60,75
400,150,75
82,30,75
67,60,105
78,30,105
400,75,75
400,90,45
400,15,15
26,0,60
33,150,15
25,240,15
239,0,30
233,30,45
224,60,60
210,0,60
50,0,75
33,0,75
29,30,45
20,0,30
138,60,30
74,120,30
49,420,75
37,0,75
23,180,15
22,30,15
120,105,75
106,0,75
91,0,75
77,60,75
63,0,60
45,150,75
30,0,45
19,300,30
97,210,15
91,600,0
400,0,0
400,0,0
400,0,0
400,60,15
122,0,0
400,450,90
400,300,75
400,240,90
400,120,75
86,90,90
64,0,75
59,180,135
46,120,90
31,210,75
18,60,90
400,0,75
400,60,90
110,30,75
71,0,90
203,30,30
400,45,45
400,50,50
165,75,75
125,90,90
39,75,75
161,90,90
71,90,90
209,90,90
400,75,75
150,75,75
123,90,90
62,90,90
70,70,90
203,90,90
169,90,90
69,90,90
294,90,90
81,90,90
75,50,120
75,50,120
76,60,90
75,20,30
400,90,90
400,90,90
400,75,75
49,150,105
36,10,60
24,30,45
400,90,90
400,90,90
400,90,90
146,70,75
183,75,75
168,75,75
294,80,80
279,180,90
400,75,75
85,100,105
400,90,90
57,60,75
43,60,75
31,30,75
104,60,60
99,70,75
83,75,75
66,75,75
52,60,75
37,10,75
22,10,45
400,75,75
400,75,75
400,75,75
9,75,5
4,5,195
4,5,90
4,5,270
4,5,90
4,5,150
158,120,120
162,120,105
125,60,60
